ID_SERIE;NOMBRE;LINK;DESCRIPCION;SERIES
3;Otaku Culture Anime;https://myanimelist.net/anime/genre/69/Otaku_Culture;Otaku is a term in used in modern Japan to refer to people with obsessive interests. Outside of Japan, it specifically denotes people who have a heavy interest in anime, manga, and other Japanese culture or entertainment. Otaku Culture themed stories have a plot which is related to the hobbies or occupation of a main cast who are heavily involved in anime-related media. Characters could be creating anime or manga (professionally or casually with friends), attending conventions or idol concerts, dressing up in cosplay, etc.  Please note stories focusing on seiyuu (voice acting) fall under the Showbiz theme due to their celebrity status.;92
3;School Anime;https://myanimelist.net/anime/genre/23/School;;2002
4;Comedy Anime;https://myanimelist.net/anime/genre/4/Comedy;Uplifting the audience with positive emotion takes priority, eliciting laughter, amusement, or general entertainment. Almost always, comedy stories are episodic or have happy endings.  Nearly every work will use comedy as a plot device to relieve tension, but the overarching narrative must be focused on evoking amusement to be Comedy. Drama and Comedy are not mutually exclusive, but mixing them requires the audience facing human struggle with lightheartedness. Slice of Life and Comedy are incompatible by definition.;7175
4;Drama Anime;https://myanimelist.net/anime/genre/8/Drama;Plot-driven stories focused on realistic characters experiencing human struggle. Because drama stories ask the question of what it means to be human, the conflict and emotions will be relatable, even if the settings or characters themselves are not. Here, you will see humanity at its worst, its best, and everything in between.  Simply having a serious tone, dramatic moments, or evoking tears does not equal Drama. If the narrative focuses on eliciting emotional reactions rather than on characterization, then it is melodrama and not Drama. Slice of Life and Drama are incompatible by definition.;2891
4;Romance Anime;https://myanimelist.net/anime/genre/22/Romance;Falling in love and struggling to progress towards—or maintain—a romantic relationship take priority, while other subplots either take backseat or are designed to develop the main love story. The narrative focuses on the thoughts and emotions of the characters, illustrating the connections between them and explaining their reactions to events or conflict. Almost always, the story ends happily and the couple is rewarded for their efforts with lasting love.  Romance stories require significant romantic development leading to some kind of conclusion: either to begin the relationship, continue it, or end it. Open-ended romantic endings are only acceptable when the work is an incomplete adaptation of a Romance source. "Teasing" stories which do not narrate significant romantic development but have a conclusion should be tagged Romantic Subplot.  A story can be simply Romance. Since they are plot-driven stories showing humans experiencing romantic struggle, most Romance has some Drama inherently. For both tags, the drama should be focused not only on the relationship but also on the side storylines; for example, one character overcoming the death of a loved one or a drug addiction. Comedy requires Romance narratives to be focused on eliciting laughter, not only using comedy for lightheartedness. Slice of Life and Romance are incompatible by definition.;2036
4;Adult Cast Anime;https://myanimelist.net/anime/genre/50/Adult_Cast;;557
4;Otaku Culture Anime;https://myanimelist.net/anime/genre/69/Otaku_Culture;Otaku is a term in used in modern Japan to refer to people with obsessive interests. Outside of Japan, it specifically denotes people who have a heavy interest in anime, manga, and other Japanese culture or entertainment. Otaku Culture themed stories have a plot which is related to the hobbies or occupation of a main cast who are heavily involved in anime-related media. Characters could be creating anime or manga (professionally or casually with friends), attending conventions or idol concerts, dressing up in cosplay, etc.  Please note stories focusing on seiyuu (voice acting) fall under the Showbiz theme due to their celebrity status.;92
4;Psychological Anime;https://myanimelist.net/anime/genre/40/Psychological;;417
5;Comedy Anime;https://myanimelist.net/anime/genre/4/Comedy;Uplifting the audience with positive emotion takes priority, eliciting laughter, amusement, or general entertainment. Almost always, comedy stories are episodic or have happy endings.  Nearly every work will use comedy as a plot device to relieve tension, but the overarching narrative must be focused on evoking amusement to be Comedy. Drama and Comedy are not mutually exclusive, but mixing them requires the audience facing human struggle with lightheartedness. Slice of Life and Comedy are incompatible by definition.;7175
5;Romance Anime;https://myanimelist.net/anime/genre/22/Romance;Falling in love and struggling to progress towards—or maintain—a romantic relationship take priority, while other subplots either take backseat or are designed to develop the main love story. The narrative focuses on the thoughts and emotions of the characters, illustrating the connections between them and explaining their reactions to events or conflict. Almost always, the story ends happily and the couple is rewarded for their efforts with lasting love.  Romance stories require significant romantic development leading to some kind of conclusion: either to begin the relationship, continue it, or end it. Open-ended romantic endings are only acceptable when the work is an incomplete adaptation of a Romance source. "Teasing" stories which do not narrate significant romantic development but have a conclusion should be tagged Romantic Subplot.  A story can be simply Romance. Since they are plot-driven stories showing humans experiencing romantic struggle, most Romance has some Drama inherently. For both tags, the drama should be focused not only on the relationship but also on the side storylines; for example, one character overcoming the death of a loved one or a drug addiction. Comedy requires Romance narratives to be focused on eliciting laughter, not only using comedy for lightheartedness. Slice of Life and Romance are incompatible by definition.;2036
5;Ecchi Anime;https://myanimelist.net/anime/genre/9/Ecchi;;789
6;Comedy Anime;https://myanimelist.net/anime/genre/4/Comedy;Uplifting the audience with positive emotion takes priority, eliciting laughter, amusement, or general entertainment. Almost always, comedy stories are episodic or have happy endings.  Nearly every work will use comedy as a plot device to relieve tension, but the overarching narrative must be focused on evoking amusement to be Comedy. Drama and Comedy are not mutually exclusive, but mixing them requires the audience facing human struggle with lightheartedness. Slice of Life and Comedy are incompatible by definition.;7175
6;Otaku Culture Anime;https://myanimelist.net/anime/genre/69/Otaku_Culture;Otaku is a term in used in modern Japan to refer to people with obsessive interests. Outside of Japan, it specifically denotes people who have a heavy interest in anime, manga, and other Japanese culture or entertainment. Otaku Culture themed stories have a plot which is related to the hobbies or occupation of a main cast who are heavily involved in anime-related media. Characters could be creating anime or manga (professionally or casually with friends), attending conventions or idol concerts, dressing up in cosplay, etc.  Please note stories focusing on seiyuu (voice acting) fall under the Showbiz theme due to their celebrity status.;92
6;School Anime;https://myanimelist.net/anime/genre/23/School;;2002
6;Seinen Anime;https://myanimelist.net/anime/genre/42/Seinen;;992
7;Comedy Anime;https://myanimelist.net/anime/genre/4/Comedy;Uplifting the audience with positive emotion takes priority, eliciting laughter, amusement, or general entertainment. Almost always, comedy stories are episodic or have happy endings.  Nearly every work will use comedy as a plot device to relieve tension, but the overarching narrative must be focused on evoking amusement to be Comedy. Drama and Comedy are not mutually exclusive, but mixing them requires the audience facing human struggle with lightheartedness. Slice of Life and Comedy are incompatible by definition.;7175
8;Comedy Anime;https://myanimelist.net/anime/genre/4/Comedy;Uplifting the audience with positive emotion takes priority, eliciting laughter, amusement, or general entertainment. Almost always, comedy stories are episodic or have happy endings.  Nearly every work will use comedy as a plot device to relieve tension, but the overarching narrative must be focused on evoking amusement to be Comedy. Drama and Comedy are not mutually exclusive, but mixing them requires the audience facing human struggle with lightheartedness. Slice of Life and Comedy are incompatible by definition.;7175
8;Romance Anime;https://myanimelist.net/anime/genre/22/Romance;Falling in love and struggling to progress towards—or maintain—a romantic relationship take priority, while other subplots either take backseat or are designed to develop the main love story. The narrative focuses on the thoughts and emotions of the characters, illustrating the connections between them and explaining their reactions to events or conflict. Almost always, the story ends happily and the couple is rewarded for their efforts with lasting love.  Romance stories require significant romantic development leading to some kind of conclusion: either to begin the relationship, continue it, or end it. Open-ended romantic endings are only acceptable when the work is an incomplete adaptation of a Romance source. "Teasing" stories which do not narrate significant romantic development but have a conclusion should be tagged Romantic Subplot.  A story can be simply Romance. Since they are plot-driven stories showing humans experiencing romantic struggle, most Romance has some Drama inherently. For both tags, the drama should be focused not only on the relationship but also on the side storylines; for example, one character overcoming the death of a loved one or a drug addiction. Comedy requires Romance narratives to be focused on eliciting laughter, not only using comedy for lightheartedness. Slice of Life and Romance are incompatible by definition.;2036
8;Ecchi Anime;https://myanimelist.net/anime/genre/9/Ecchi;;789
8;Harem Anime;https://myanimelist.net/anime/genre/35/Harem;;458
8;Otaku Culture Anime;https://myanimelist.net/anime/genre/69/Otaku_Culture;Otaku is a term in used in modern Japan to refer to people with obsessive interests. Outside of Japan, it specifically denotes people who have a heavy interest in anime, manga, and other Japanese culture or entertainment. Otaku Culture themed stories have a plot which is related to the hobbies or occupation of a main cast who are heavily involved in anime-related media. Characters could be creating anime or manga (professionally or casually with friends), attending conventions or idol concerts, dressing up in cosplay, etc.  Please note stories focusing on seiyuu (voice acting) fall under the Showbiz theme due to their celebrity status.;92
8;School Anime;https://myanimelist.net/anime/genre/23/School;;2002
9;Comedy Anime;https://myanimelist.net/anime/genre/4/Comedy;Uplifting the audience with positive emotion takes priority, eliciting laughter, amusement, or general entertainment. Almost always, comedy stories are episodic or have happy endings.  Nearly every work will use comedy as a plot device to relieve tension, but the overarching narrative must be focused on evoking amusement to be Comedy. Drama and Comedy are not mutually exclusive, but mixing them requires the audience facing human struggle with lightheartedness. Slice of Life and Comedy are incompatible by definition.;7175
9;Otaku Culture Anime;https://myanimelist.net/anime/genre/69/Otaku_Culture;Otaku is a term in used in modern Japan to refer to people with obsessive interests. Outside of Japan, it specifically denotes people who have a heavy interest in anime, manga, and other Japanese culture or entertainment. Otaku Culture themed stories have a plot which is related to the hobbies or occupation of a main cast who are heavily involved in anime-related media. Characters could be creating anime or manga (professionally or casually with friends), attending conventions or idol concerts, dressing up in cosplay, etc.  Please note stories focusing on seiyuu (voice acting) fall under the Showbiz theme due to their celebrity status.;92
9;Romantic Subtext Anime;https://myanimelist.net/anime/genre/74/Romantic_Subtext;Romantic Subtext is a narrative which can at first appear to be Romance. These plots feature one or more main couples which seem to have romantic interest in each other, and whose relationship(s) will be central to the main story. However, while the story will set the couple up for heartwarming or embarrassing moments, these encounters will not lead to any significant romantic development, and the characters will not strive to deepen the relationship beyond a certain boundary.  Some early indicators of Romantic Subtext include a missing emotional throughline (lack of personal reflection which allows the characters to understand their feelings and share these with the audience) and a lack of any conflict which will deepen or drive the relationship apart. Almost always, Romantic Subtext is a theme under the Comedy genre and these stories have plots designed to uplift the audience with positive emotion or amusement.  Not to be confused with Romantic Sideplot, where a Romance narrative is side story to another main genre plot (e.g. Action or Adventure). Romance and Romantic Subtext are mutually exclusive by definition. Harem and Reverse Harem may fall into a similar pattern of absent romantic development, but will not be double-tagged.;53
9;Workplace Anime;https://myanimelist.net/anime/genre/48/Workplace;;183
10;Comedy Anime;https://myanimelist.net/anime/genre/4/Comedy;Uplifting the audience with positive emotion takes priority, eliciting laughter, amusement, or general entertainment. Almost always, comedy stories are episodic or have happy endings.  Nearly every work will use comedy as a plot device to relieve tension, but the overarching narrative must be focused on evoking amusement to be Comedy. Drama and Comedy are not mutually exclusive, but mixing them requires the audience facing human struggle with lightheartedness. Slice of Life and Comedy are incompatible by definition.;7175
10;Otaku Culture Anime;https://myanimelist.net/anime/genre/69/Otaku_Culture;Otaku is a term in used in modern Japan to refer to people with obsessive interests. Outside of Japan, it specifically denotes people who have a heavy interest in anime, manga, and other Japanese culture or entertainment. Otaku Culture themed stories have a plot which is related to the hobbies or occupation of a main cast who are heavily involved in anime-related media. Characters could be creating anime or manga (professionally or casually with friends), attending conventions or idol concerts, dressing up in cosplay, etc.  Please note stories focusing on seiyuu (voice acting) fall under the Showbiz theme due to their celebrity status.;92
10;School Anime;https://myanimelist.net/anime/genre/23/School;;2002
11;Comedy Anime;https://myanimelist.net/anime/genre/4/Comedy;Uplifting the audience with positive emotion takes priority, eliciting laughter, amusement, or general entertainment. Almost always, comedy stories are episodic or have happy endings.  Nearly every work will use comedy as a plot device to relieve tension, but the overarching narrative must be focused on evoking amusement to be Comedy. Drama and Comedy are not mutually exclusive, but mixing them requires the audience facing human struggle with lightheartedness. Slice of Life and Comedy are incompatible by definition.;7175
11;Romance Anime;https://myanimelist.net/anime/genre/22/Romance;Falling in love and struggling to progress towards—or maintain—a romantic relationship take priority, while other subplots either take backseat or are designed to develop the main love story. The narrative focuses on the thoughts and emotions of the characters, illustrating the connections between them and explaining their reactions to events or conflict. Almost always, the story ends happily and the couple is rewarded for their efforts with lasting love.  Romance stories require significant romantic development leading to some kind of conclusion: either to begin the relationship, continue it, or end it. Open-ended romantic endings are only acceptable when the work is an incomplete adaptation of a Romance source. "Teasing" stories which do not narrate significant romantic development but have a conclusion should be tagged Romantic Subplot.  A story can be simply Romance. Since they are plot-driven stories showing humans experiencing romantic struggle, most Romance has some Drama inherently. For both tags, the drama should be focused not only on the relationship but also on the side storylines; for example, one character overcoming the death of a loved one or a drug addiction. Comedy requires Romance narratives to be focused on eliciting laughter, not only using comedy for lightheartedness. Slice of Life and Romance are incompatible by definition.;2036
11;Love Polygon Anime;https://myanimelist.net/anime/genre/64/Love_Polygon;;90
11;Otaku Culture Anime;https://myanimelist.net/anime/genre/69/Otaku_Culture;Otaku is a term in used in modern Japan to refer to people with obsessive interests. Outside of Japan, it specifically denotes people who have a heavy interest in anime, manga, and other Japanese culture or entertainment. Otaku Culture themed stories have a plot which is related to the hobbies or occupation of a main cast who are heavily involved in anime-related media. Characters could be creating anime or manga (professionally or casually with friends), attending conventions or idol concerts, dressing up in cosplay, etc.  Please note stories focusing on seiyuu (voice acting) fall under the Showbiz theme due to their celebrity status.;92
11;School Anime;https://myanimelist.net/anime/genre/23/School;;2002
11;Video Game Anime;https://myanimelist.net/anime/genre/79/Video_Game;;144
12;Comedy Anime;https://myanimelist.net/anime/genre/4/Comedy;Uplifting the audience with positive emotion takes priority, eliciting laughter, amusement, or general entertainment. Almost always, comedy stories are episodic or have happy endings.  Nearly every work will use comedy as a plot device to relieve tension, but the overarching narrative must be focused on evoking amusement to be Comedy. Drama and Comedy are not mutually exclusive, but mixing them requires the audience facing human struggle with lightheartedness. Slice of Life and Comedy are incompatible by definition.;7175
12;CGDCT Anime;https://myanimelist.net/anime/genre/52/CGDCT;;234
12;Gag Humor Anime;https://myanimelist.net/anime/genre/57/Gag_Humor;;241
12;Otaku Culture Anime;https://myanimelist.net/anime/genre/69/Otaku_Culture;Otaku is a term in used in modern Japan to refer to people with obsessive interests. Outside of Japan, it specifically denotes people who have a heavy interest in anime, manga, and other Japanese culture or entertainment. Otaku Culture themed stories have a plot which is related to the hobbies or occupation of a main cast who are heavily involved in anime-related media. Characters could be creating anime or manga (professionally or casually with friends), attending conventions or idol concerts, dressing up in cosplay, etc.  Please note stories focusing on seiyuu (voice acting) fall under the Showbiz theme due to their celebrity status.;92
12;School Anime;https://myanimelist.net/anime/genre/23/School;;2002
13;Comedy Anime;https://myanimelist.net/anime/genre/4/Comedy;Uplifting the audience with positive emotion takes priority, eliciting laughter, amusement, or general entertainment. Almost always, comedy stories are episodic or have happy endings.  Nearly every work will use comedy as a plot device to relieve tension, but the overarching narrative must be focused on evoking amusement to be Comedy. Drama and Comedy are not mutually exclusive, but mixing them requires the audience facing human struggle with lightheartedness. Slice of Life and Comedy are incompatible by definition.;7175
13;Romance Anime;https://myanimelist.net/anime/genre/22/Romance;Falling in love and struggling to progress towards—or maintain—a romantic relationship take priority, while other subplots either take backseat or are designed to develop the main love story. The narrative focuses on the thoughts and emotions of the characters, illustrating the connections between them and explaining their reactions to events or conflict. Almost always, the story ends happily and the couple is rewarded for their efforts with lasting love.  Romance stories require significant romantic development leading to some kind of conclusion: either to begin the relationship, continue it, or end it. Open-ended romantic endings are only acceptable when the work is an incomplete adaptation of a Romance source. "Teasing" stories which do not narrate significant romantic development but have a conclusion should be tagged Romantic Subplot.  A story can be simply Romance. Since they are plot-driven stories showing humans experiencing romantic struggle, most Romance has some Drama inherently. For both tags, the drama should be focused not only on the relationship but also on the side storylines; for example, one character overcoming the death of a loved one or a drug addiction. Comedy requires Romance narratives to be focused on eliciting laughter, not only using comedy for lightheartedness. Slice of Life and Romance are incompatible by definition.;2036
13;Supernatural Anime;https://myanimelist.net/anime/genre/37/Supernatural;Primarily taking place on Earth, supernatural stories incorporate elements or attributes that are unnatural and unexplainable by science. Creatures common in folklore (ghosts, vampires) or humans with metaphysical powers (telekinesis, mind reading) are often featured.  Character traits (e.g. demon/spirit) and setting alone do not determine if a story is Supernatural. If only a few characters have powers and most of the cast would be in disbelief to discover this (e.g. one man is an exorcist and the rest are normal adults), then the story is Supernatural. If majority of the cast has magical or supernatural powers (e.g. one normal highschool boy surrounded by five goddesses), then the story is Fantasy. Sometimes a story can be both Supernatural and Fantasy, but this is rare.  When searching for stories featuring creatures, spirits, or gods from folklore, the Mythology and Vampire themes can help refine your search. For superhero stories, please refer to Mahou Shoujo or Superpower.;1487
13;Harem Anime;https://myanimelist.net/anime/genre/35/Harem;;458
13;Otaku Culture Anime;https://myanimelist.net/anime/genre/69/Otaku_Culture;Otaku is a term in used in modern Japan to refer to people with obsessive interests. Outside of Japan, it specifically denotes people who have a heavy interest in anime, manga, and other Japanese culture or entertainment. Otaku Culture themed stories have a plot which is related to the hobbies or occupation of a main cast who are heavily involved in anime-related media. Characters could be creating anime or manga (professionally or casually with friends), attending conventions or idol concerts, dressing up in cosplay, etc.  Please note stories focusing on seiyuu (voice acting) fall under the Showbiz theme due to their celebrity status.;92
13;Shounen Anime;https://myanimelist.net/anime/genre/27/Shounen;;1914
14;Comedy Anime;https://myanimelist.net/anime/genre/4/Comedy;Uplifting the audience with positive emotion takes priority, eliciting laughter, amusement, or general entertainment. Almost always, comedy stories are episodic or have happy endings.  Nearly every work will use comedy as a plot device to relieve tension, but the overarching narrative must be focused on evoking amusement to be Comedy. Drama and Comedy are not mutually exclusive, but mixing them requires the audience facing human struggle with lightheartedness. Slice of Life and Comedy are incompatible by definition.;7175
14;Drama Anime;https://myanimelist.net/anime/genre/8/Drama;Plot-driven stories focused on realistic characters experiencing human struggle. Because drama stories ask the question of what it means to be human, the conflict and emotions will be relatable, even if the settings or characters themselves are not. Here, you will see humanity at its worst, its best, and everything in between.  Simply having a serious tone, dramatic moments, or evoking tears does not equal Drama. If the narrative focuses on eliciting emotional reactions rather than on characterization, then it is melodrama and not Drama. Slice of Life and Drama are incompatible by definition.;2891
14;Romance Anime;https://myanimelist.net/anime/genre/22/Romance;Falling in love and struggling to progress towards—or maintain—a romantic relationship take priority, while other subplots either take backseat or are designed to develop the main love story. The narrative focuses on the thoughts and emotions of the characters, illustrating the connections between them and explaining their reactions to events or conflict. Almost always, the story ends happily and the couple is rewarded for their efforts with lasting love.  Romance stories require significant romantic development leading to some kind of conclusion: either to begin the relationship, continue it, or end it. Open-ended romantic endings are only acceptable when the work is an incomplete adaptation of a Romance source. "Teasing" stories which do not narrate significant romantic development but have a conclusion should be tagged Romantic Subplot.  A story can be simply Romance. Since they are plot-driven stories showing humans experiencing romantic struggle, most Romance has some Drama inherently. For both tags, the drama should be focused not only on the relationship but also on the side storylines; for example, one character overcoming the death of a loved one or a drug addiction. Comedy requires Romance narratives to be focused on eliciting laughter, not only using comedy for lightheartedness. Slice of Life and Romance are incompatible by definition.;2036
14;Shounen Anime;https://myanimelist.net/anime/genre/27/Shounen;;1914
15;Comedy Anime;https://myanimelist.net/anime/genre/4/Comedy;Uplifting the audience with positive emotion takes priority, eliciting laughter, amusement, or general entertainment. Almost always, comedy stories are episodic or have happy endings.  Nearly every work will use comedy as a plot device to relieve tension, but the overarching narrative must be focused on evoking amusement to be Comedy. Drama and Comedy are not mutually exclusive, but mixing them requires the audience facing human struggle with lightheartedness. Slice of Life and Comedy are incompatible by definition.;7175
15;Romance Anime;https://myanimelist.net/anime/genre/22/Romance;Falling in love and struggling to progress towards—or maintain—a romantic relationship take priority, while other subplots either take backseat or are designed to develop the main love story. The narrative focuses on the thoughts and emotions of the characters, illustrating the connections between them and explaining their reactions to events or conflict. Almost always, the story ends happily and the couple is rewarded for their efforts with lasting love.  Romance stories require significant romantic development leading to some kind of conclusion: either to begin the relationship, continue it, or end it. Open-ended romantic endings are only acceptable when the work is an incomplete adaptation of a Romance source. "Teasing" stories which do not narrate significant romantic development but have a conclusion should be tagged Romantic Subplot.  A story can be simply Romance. Since they are plot-driven stories showing humans experiencing romantic struggle, most Romance has some Drama inherently. For both tags, the drama should be focused not only on the relationship but also on the side storylines; for example, one character overcoming the death of a loved one or a drug addiction. Comedy requires Romance narratives to be focused on eliciting laughter, not only using comedy for lightheartedness. Slice of Life and Romance are incompatible by definition.;2036
15;Otaku Culture Anime;https://myanimelist.net/anime/genre/69/Otaku_Culture;Otaku is a term in used in modern Japan to refer to people with obsessive interests. Outside of Japan, it specifically denotes people who have a heavy interest in anime, manga, and other Japanese culture or entertainment. Otaku Culture themed stories have a plot which is related to the hobbies or occupation of a main cast who are heavily involved in anime-related media. Characters could be creating anime or manga (professionally or casually with friends), attending conventions or idol concerts, dressing up in cosplay, etc.  Please note stories focusing on seiyuu (voice acting) fall under the Showbiz theme due to their celebrity status.;92
15;Reverse Harem Anime;https://myanimelist.net/anime/genre/73/Reverse_Harem;;75
15;School Anime;https://myanimelist.net/anime/genre/23/School;;2002
15;Shoujo Anime;https://myanimelist.net/anime/genre/25/Shoujo;;476
16;Award Winning Anime;https://myanimelist.net/anime/genre/46/Award_Winning;Titles which have won prestigious or professional awards in Japan. Examples include the Tokyo Anime Award or Japan Media Arts Festival awards.;240
16;Comedy Anime;https://myanimelist.net/anime/genre/4/Comedy;Uplifting the audience with positive emotion takes priority, eliciting laughter, amusement, or general entertainment. Almost always, comedy stories are episodic or have happy endings.  Nearly every work will use comedy as a plot device to relieve tension, but the overarching narrative must be focused on evoking amusement to be Comedy. Drama and Comedy are not mutually exclusive, but mixing them requires the audience facing human struggle with lightheartedness. Slice of Life and Comedy are incompatible by definition.;7175
16;Drama Anime;https://myanimelist.net/anime/genre/8/Drama;Plot-driven stories focused on realistic characters experiencing human struggle. Because drama stories ask the question of what it means to be human, the conflict and emotions will be relatable, even if the settings or characters themselves are not. Here, you will see humanity at its worst, its best, and everything in between.  Simply having a serious tone, dramatic moments, or evoking tears does not equal Drama. If the narrative focuses on eliciting emotional reactions rather than on characterization, then it is melodrama and not Drama. Slice of Life and Drama are incompatible by definition.;2891
16;Adult Cast Anime;https://myanimelist.net/anime/genre/50/Adult_Cast;;557
16;Otaku Culture Anime;https://myanimelist.net/anime/genre/69/Otaku_Culture;Otaku is a term in used in modern Japan to refer to people with obsessive interests. Outside of Japan, it specifically denotes people who have a heavy interest in anime, manga, and other Japanese culture or entertainment. Otaku Culture themed stories have a plot which is related to the hobbies or occupation of a main cast who are heavily involved in anime-related media. Characters could be creating anime or manga (professionally or casually with friends), attending conventions or idol concerts, dressing up in cosplay, etc.  Please note stories focusing on seiyuu (voice acting) fall under the Showbiz theme due to their celebrity status.;92
16;Workplace Anime;https://myanimelist.net/anime/genre/48/Workplace;;183
17;Comedy Anime;https://myanimelist.net/anime/genre/4/Comedy;Uplifting the audience with positive emotion takes priority, eliciting laughter, amusement, or general entertainment. Almost always, comedy stories are episodic or have happy endings.  Nearly every work will use comedy as a plot device to relieve tension, but the overarching narrative must be focused on evoking amusement to be Comedy. Drama and Comedy are not mutually exclusive, but mixing them requires the audience facing human struggle with lightheartedness. Slice of Life and Comedy are incompatible by definition.;7175
17;Romance Anime;https://myanimelist.net/anime/genre/22/Romance;Falling in love and struggling to progress towards—or maintain—a romantic relationship take priority, while other subplots either take backseat or are designed to develop the main love story. The narrative focuses on the thoughts and emotions of the characters, illustrating the connections between them and explaining their reactions to events or conflict. Almost always, the story ends happily and the couple is rewarded for their efforts with lasting love.  Romance stories require significant romantic development leading to some kind of conclusion: either to begin the relationship, continue it, or end it. Open-ended romantic endings are only acceptable when the work is an incomplete adaptation of a Romance source. "Teasing" stories which do not narrate significant romantic development but have a conclusion should be tagged Romantic Subplot.  A story can be simply Romance. Since they are plot-driven stories showing humans experiencing romantic struggle, most Romance has some Drama inherently. For both tags, the drama should be focused not only on the relationship but also on the side storylines; for example, one character overcoming the death of a loved one or a drug addiction. Comedy requires Romance narratives to be focused on eliciting laughter, not only using comedy for lightheartedness. Slice of Life and Romance are incompatible by definition.;2036
