"ID","TITULO","IMAGEN","TIPO","EPISODIOS","ESTADO","FECHA_ESTRENO","LICENCIA","ID_ESTUDIOS","SRC","ID_GENEROS","DURACION","DESCRIPCION"
"11","Strike the Blood","https://cdn.myanimelist.net/images/anime/5/56163.jpg","TV","24","Finished Airing","2013-10-04","Discotek Media, Crunchyroll","[40, 41, 2, 3, 42, 43, 44, 45]","Light novel","[1, 10, 3, 20, 21, 22, 5]","24.0","Kojou Akatsuki's days as an ordinary high school student in the Demon District of Itogami Island come to an abrupt end after a fateful encounter leaves him with the remarkable abilities of a vampire.  It isn't long before he is thrust into the center of attention when it is discovered that he is the fourth primogenitor, an immensely powerful vampire whom most consider to be merely a legend. Fearing Kojou's destructive potential, the Lion King Organization sends in an apprentice sword-shaman, Yukina Himeragi, to monitor, and should he become a threat, kill the boy deemed the world's most powerful vampire. Forced together by circumstance, the two form an unlikely alliance as Kojou comes to terms with his abilities and they both struggle to protect the city from various emerging chaotic forces.  [Written by MAL Rewrite]"
"12","Kore wa Zombie desu ka?","https://cdn.myanimelist.net/images/anime/13/75521.jpg","TV","12","Finished Airing","2011-01-11","Funimation","[32, 41, 46, 3, 33, 47]","Light novel","[1, 17, 10, 20, 21, 5]","24.0","Ayumu Aikawa is a 16-year-old high school student who is tragically murdered while investigating a suspicious house. However, he soon awakens next to a strange armored girl called Eucliwood Hellscythe. She reveals herself to be a necromancer who has revived Ayumu, consequently turning him into a zombie!  Now immortal, Ayumu sets out to hunt down his killer. One day, while searching in a cemetery, he encounters a boisterous young girl named Haruna, who is fighting a bear with a chainsaw while dressed as a magical girl. After she kills the beast, Haruna attempts to erase Ayumu's memories of her, but he instead absorbs her magic for himself. Stripped of her powers, Haruna now orders Ayumu to take up her role of hunting strange creatures known as ""Megalo,"" monsters that roam the human world and terrorize the population.  Kore wa Zombie Desu ka? follows the daily antics of the human-turned-zombie Ayumu as he begins his new, ludicrous life where the supernatural becomes the norm.  [Written by MAL Rewrite]"
"13","Vampire Knight","https://cdn.myanimelist.net/images/anime/3/7327.jpg","TV","13","Finished Airing","2008-04-08","VIZ Media","[48, 7, 23, 47]","Manga","[9, 7, 8, 3, 23, 5, 24]","24.0","The cheerful Yuuki Cross and the gruff Zero Kiryuu are members of the disciplinary committee at Cross Academy, which houses two very distinct classes: the Day Class and the Night Class. Their job consists of upholding order between the classes when they switch out. While that may not seem like an especially difficult task, the Day Class is unaware of the truth behind the Night Class—their utterly gorgeous students are vampires.  Ten years ago, Yuuki was saved from a vampire attack by Kaname Kuran, a Pureblood vampire. Now, Kaname is the leader of the Night Class, and Yuuki's disciplinary committee position allows her to see him again, making her feelings for him grow complicated. Meanwhile, Zero bears a white-hot hatred of all vampires and believes they can never live in harmony with humans. But a secret from Zero's past soon threatens the fragile peace of all at the academy, and things may never be the same again.  [Written by MAL Rewrite]"
"14","Shiki","https://cdn.myanimelist.net/images/anime/1531/119165.jpg","TV","22","Finished Airing","2010-07-09","Funimation","[7, 49, 29, 50, 5, 51]","Manga","[12, 7, 3, 14, 25, 5, 6]","22.0","Life is idyllic and unassuming in the small town of Sotoba, a simple place where everyone knows everyone. However, tragedy strikes when Megumi Shimizu, a young girl with high aspirations, unexpectedly passes away from an unnamed illness. Over the torrid summer months, as more unexplained deaths crop up around the village, the town's doctor—Toshio Ozaki—begins to suspect that something more sinister than a mere disease is at play.  Toshio teams up with Natsuno Yuuki, an apathetic and aloof teenager, and siblings Kaori and Akira Tanaka, two of Megumi's friends, to unravel the dark mystery behind the deaths in Sotoba. With their combined efforts, the investigation leads them toward an eerie secret pertaining to the new family in the Kanemasa mansion.  [Written by MAL Rewrite]"
"15","Yofukashi no Uta","https://cdn.myanimelist.net/images/anime/1045/123711.jpg","TV","13","Finished Airing","2022-07-08","Sentai Filmworks","[7, 49, 52, 53, 29, 54, 55, 56, 57, 58]","Manga","[8, 3, 5, 6]","22.0","Kou Yamori is an average middle school student who struggles with grasping the complex concept of love. Because he sees little sense in surrendering to the norm, he soon stops going to school. Plagued with insomnia due to his idleness, Kou begins roaming the lonesome streets at night.  One night, Kou encounters a bizarre girl named Nazuna Nanakusa who believes that people stay awake during the night because they are dissatisfied with how they spent their day and cannot rest until they release their inhibitions. Nazuna offers to help Kou with his sleep issues and invites him over to her place, where she convinces him to share a futon with her. Feeling uncomfortable, Kou only pretends to doze off—which is when Nazuna suddenly bites his neck, revealing herself to be a vampire!  While Kou thinks the bite will turn him into a vampire, the specifics of transforming are not that simple. In order to change, he must be bitten by someone he truly loves. Ready to let go of his dreary mortal life, Kou decides on a new goal: he will fall in love with Nazuna and become a vampire himself.  [Written by MAL Rewrite]"
"16","Kizumonogatari I: Tekketsu-hen","https://cdn.myanimelist.net/images/anime/1783/112810.jpg","Movie","1","Finished Airing","2016-01-08","Aniplex of America","[7, 8, 9]","Light novel","[1, 7, 3, 5]","1.0","During Koyomi Araragi's second year at Naoetsu Private High School, he has a chance encounter with Tsubasa Hanekawa, the top honor student in his class. When they strike up a conversation, Hanekawa mentions a shocking rumor: a vampire with beautiful blonde hair and freezing cold eyes has been seen lurking around town.  Happy to have made a new friend, Araragi writes off the rumor and goes about the rest of his evening in a carefree manner. However, on his way home, he stumbles across splatters of blood leading down the stairs to the subway. His curiosity pushes him to investigate further, so he follows the gruesome pools into the depths of the station.  When he arrives at the source of the blood, he is terrified by what he sees—the rumored blonde vampire herself, completely dismembered. After she calls for his help, Araragi must make a decision, one which carries the potential to change his life forever.  [Written by MAL Rewrite]"
"17","Vanitas no Karte","https://cdn.myanimelist.net/images/anime/1401/118483.jpg","TV","12","Finished Airing","2021-07-03","Funimation","[7, 59, 60, 61, 28]","Manga","[1, 10, 7, 4, 5, 6]","23.0","Scorned by others of his kind for being born under a blue moon, the vampire Vanitas grew afraid and desolate. According to legend, he created a cursed grimoire known as the ""Book of Vanitas,"" and it is said he would one day use it to bring retribution upon all vampires of the crimson moon.  In 19th century Paris, Noé Archiviste is searching for the fabled Book of Vanitas. Whilst traveling aboard an airship, he is saved from a vampire attack by an eccentric doctor who calls himself Vanitas and carries the very tome he seeks. Ironically, the self-proclaimed vampire specialist is a mere human who inherited both his name and the book from his master, the same Vanitas of legend. As the odd case of the Charlatan's Parade crops up, the doctor's ability to restore sanity to vampires by recovering their true name will prove most beneficial.  [Written by MAL Rewrite]"
"18","Owarimonogatari","https://cdn.myanimelist.net/images/anime/8/76479.jpg","TV","12","Finished Airing","2015-10-04","Aniplex of America","[7, 9]","Light novel","[17, 7, 3, 5]","26.0","A peculiar transfer student named Ougi Oshino has just arrived at Naoetsu Private High School. She is quickly introduced to senior student Koyomi Araragi by their mutual friend Kanbaru Suruga, in hopes of obtaining advice regarding a strange discovery she has made. After taking a look at the school's layout, Ougi notices that a classroom has appeared in an otherwise empty area—a place that should not exist.  Unsure if this is the work of an apparition, Araragi and Ougi attempt to unravel the truth behind this enigma. But Araragi soon discovers, after finding himself locked in with Ougi, that the room holds the memory of an event he had long since forgotten.  [Written by MAL Rewrite]"
"19","Kizumonogatari III: Reiketsu-hen","https://cdn.myanimelist.net/images/anime/1084/112813.jpg","Movie","1","Finished Airing","2017-01-06","Aniplex of America","[7, 8, 9]","Light novel","[1, 7, 3, 5]","1.0","After helping revive the legendary vampire Kiss-shot Acerola-orion Heart-under-blade, Koyomi Araragi has become a vampire himself and her servant. Kiss-shot is certain she can turn him back into a human, but only once regaining her full power.  Araragi has hunted down the three vampire hunters that defeated Kiss-shot and retrieved her limbs to return her to full strength. However, now that Araragi has almost accomplished what he’s been fighting for this whole time, he has to consider if this is what he really wants. Once he revives this powerful immortal vampire, there is no telling what she might do, and there would be no way of stopping her.  But there is more to the story that Araragi doesn’t understand. If a newborn vampire like him could defeat the hunters, how did they overpower Kiss-shot? Can he trust her to turn him back to a human? And how is that even possible in the first place?  Araragi is at his limit but he must come to a decision, and it may not be possible to resolve this situation without doing something he’ll regret…  [Written by MAL Rewrite]"
"20","Kizumonogatari II: Nekketsu-hen","https://cdn.myanimelist.net/images/anime/1981/112812.jpg","Movie","1","Finished Airing","2016-08-19","Aniplex of America","[7, 8, 9]","Light novel","[1, 7, 3, 5]","1.0","No longer truly human, Koyomi Araragi decides to retrieve Kiss-shot Acerola-orion Heart-under-blade's severed body parts that were stolen by three powerful vampire hunters. Awaiting him are Dramaturgie, a vampire hunter who is a vampire himself; Episode, a half-vampire with the ability to transform into mist; and Guillotinecutter, a human priest who is the most dangerous of them all.  Unbeknownst to Araragi, each minute he spends trying to retrieve Kiss-shot's limbs makes him less of a human and more of a vampire. Will he be able to keep his wish of becoming human once again by the end of his battles?  [Written by MAL Rewrite]"
"21","Kekkai Sensen & Beyond","https://cdn.myanimelist.net/images/anime/3/88282.jpg","TV","12","Finished Airing","2017-10-08","Funimation","[23, 24, 25, 5, 28]","Manga","[1, 10, 16, 5, 6]","24.0","Three years ago, a gateway between Earth and the Beyond opened in New York City, trapping extradimensional creatures and humans alike in an impermeable bubble. After the city's restoration, monsters, magic, and madness are common findings in the area now known as Hellsalem's Lot. Leonardo Watch, a young photographer who unwillingly obtained the ""All-seeing Eyes of the Gods"" in exchange for his sister's eyesight, came to this paranormal city to find answers to the mysterious power that he possesses. He later finds his life drastically changed when he joins Libra, a secret organization of people with supernatural abilities dedicated to maintaining order in the everyday chaos of Hellsalem's Lot.  However, this is only the beginning of Leonardo's unexpected journey ahead. Regardless of the constant threat of otherworldly enemies, he is determined to uncover the secrets of his power and find a way to restore his sister's eyesight. Kekkai Sensen & Beyond follows Leonardo as he sets off on more crazy adventures with his comrades, fighting to ensure peace and order.  [Written by MAL Rewrite]"
"22","Rosario to Vampire Capu2","https://cdn.myanimelist.net/images/anime/6/25093.jpg","TV","13","Finished Airing","2008-10-02","Funimation","[14, 1, 35, 5, 37, 31]","Manga","[17, 10, 8, 20, 21, 22, 5, 6]","24.0","It has been one year since Tsukune Aono enrolled at Youkai Academy, and since then his life has taken an interesting turn. In addition to being the only human at a school for monsters, he has attracted a bevy of beautiful women who want him all for themselves: the sexy succubus Kurumu Kurono; Yukari Sendou, a witch; stalker and yuki-onna Mizore Shirayuki; and Moka Akashiya, a kind vampire who, when her rosary is removed, reveals a darker personality.  But soon, trouble visits Youkai Academy in the form of Moka's younger sister, Kokoa Shuzen. She is furious that her ""true older sister"" is sealed within Moka's rosary, and vows to bring out Moka's darker self. However, Kokoa's thoughtless actions may affect more than just her sister...  [Written by MAL Rewrite]"
"23","Demi-chan wa Kataritai","https://cdn.myanimelist.net/images/anime/8/83417.jpg","TV","12","Finished Airing","2017-01-08","Funimation, Crunchyroll","[7, 8, 62, 63, 64]","Manga","[17, 10, 19, 22, 5, 15]","23.0","High school biology teacher Tetsuo Takahashi may look like your average everyday instructor, but beneath his gentle appearance lies something less ordinary: his fascination for the ""Ajin,"" more commonly known as ""Demi."" Although these half-human, half-monster beings have integrated into human society, Takahashi believes that much about them will remain unknown unless he interacts with them firsthand.  Demi-chan wa Kataritai follows Takahashi's daily life in Shibasaki High School together with his three Demi students—Hikari Takanashi, an energetic vampire; Kyouko Machi, a gentle dullahan; and Yuki Kusakabe, the shy snow woman. Along the way, Takahashi also meets fellow teacher Sakie Satou, a succubus with an aversion towards men. To fulfill his goal of learning more about the Demi, Takahashi decides to conduct casual interviews with the girls to learn more about their abilities, psyche, and interaction with human society. As Takahashi strengthens his bond with his students, he soon discovers that the Demi are not as unusual as he initially believed.  [Written by MAL Rewrite]"
"24","Owarimonogatari 2nd Season","https://cdn.myanimelist.net/images/anime/6/87322.jpg","TV","7","Finished Airing","2017-08-12","Aniplex of America","[7, 8, 9]","Light novel","[17, 7, 3, 5]","22.0","Following an encounter with oddity specialist Izuko Gaen, third-year high school student Koyomi Araragi wakes up in a strange, deserted void only to be greeted by a joyfully familiar face in an alarmingly unfamiliar place.  Araragi, with the help of his girlfriend Hitagi Senjougahara, maneuvers through the webs of his past and the perplexities of the present in search of answers. However, fate once again delivers him to the eccentric transfer student Ougi Oshino, who brings forth an unexpected proposal that may unearth the very foundation to which he is anchored. As Araragi peels back the layers of mystery surrounding an apparition, he discovers a truth not meant to be revealed.  [Written by MAL Rewrite]"
"25","Kore wa Zombie desu ka? of the Dead","https://cdn.myanimelist.net/images/anime/4/37451.jpg","TV","10","Finished Airing","2012-04-05","Funimation","[32, 41, 46, 3, 33, 47]","Light novel","[1, 17, 10, 20, 21, 5]","24.0","Aikawa Ayumu was revived as a zombie by the cute necromancer Eucliwood Hellscythe. After the zany, madcap adventures in the first season of Is This a Zombie? ended, Ayumu thought his life might finally get back to normal, or as normal as it can be for a zombie. However, destiny has other plans for him. Some guys just can't catch a break.  (Source: FUNimation)"
"26","Blood+","https://cdn.myanimelist.net/images/anime/10/10183.jpg","TV","50","Finished Airing","2005-10-08","Sony Pictures Entertainment","[7, 24, 65]","Original","[1, 9, 12, 7, 3, 14, 11, 5]","24.0","Saya Otonashi is a seemingly ordinary girl living a mundane life with her adoptive family in Okinawa City. In fact, her only peculiarities are suffering from anemia and being unable to remember any of her life beyond the previous year.  However, Saya's forgotten past quickly comes back to haunt her—one night, she is attacked at school by a creature that feeds on human blood. Just when all hope seems lost, a mysterious man named Haji appears and fends off the creature temporarily. But when her rescuer forces her to drink his blood, Saya suddenly enters a trance and slays the monster with ease, using her own blood as a catalyst.  Saya then learns of an organization named Red Shield, founded for the sole purpose of defeating the hellish beasts. Now Saya and Haji must work together with Red Shield to fight these fearsome monsters and unlock the secrets to the girl's past.  [Written by MAL Rewrite]"
"27","Vampire Knight Guilty","https://cdn.myanimelist.net/images/anime/3/10075.jpg","TV","13","Finished Airing","2008-10-07","VIZ Media","[48, 7, 47]","Manga","[9, 7, 8, 3, 23, 5, 24]","24.0","When the missing Zero Kiryuu returns to Cross Academy, Yuuki Cross is relieved to see him safe, but finds that Zero has changed in more ways than one. As a result of choices he made, Zero is plagued by visions, and he seeks to uncover the reason behind them—unaware that the answers may be much closer than he thinks.  Soon Yuuki also begins to be tormented by ghastly hallucinations, and she seeks an explanation about her shrouded past from the only one who can provide clarity: Pureblood vampire Kaname Kuran, who is closest to her heart. But what will happen when the truth is finally revealed?  [Written by MAL Rewrite]"
"28","Blood-C","https://cdn.myanimelist.net/images/anime/2/31649.jpg","TV","12","Finished Airing","2011-07-08","Funimation","[7, 24, 66, 65]","Original","[1, 12, 7, 3, 14, 22, 5]","23.0","Peaceful schoolgirl by day, fearsome monster slayer by night, Saya Kisaragi is leading a split life. Equipped with a ceremonial sword given to her by her father for sacred tasks, she vanquishes every monster who dares threaten her quiet little village. But all too soon, Saya's reality and everything she believes to be true is tested, when she overhears the monsters speak of a broken covenant—something she knows nothing about. And then, unexpectedly, a strange dog appears; it asks her to whom she promised to protect the village, curious as to what would happen if she were to break that promise. Tormented by unexplainable visions and her world unraveling around her, we travel with Saya through her struggle to find a way to the truth in a village where nothing is as it seems.  [Written by MAL Rewrite]"
"29","Diabolik Lovers","https://cdn.myanimelist.net/images/anime/9/51989.jpg","TV","12","Finished Airing","2013-09-16","Sentai Filmworks","[67, 68, 43, 69]","Visual novel","[9, 3, 26, 22, 5, 27]","15.0","At the behest of her father, Yui Komori goes to live in a secluded mansion, home to the six Sakamaki brothers—Shuu, Reiji, Ayato, Kanato, Laito, and Subaru—a family of vampires. Though at first the siblings are confused as to why the girl has arrived, they soon realize that she is to be their new ""sacrificial bride,"" not to mention their other, more carnal intentions for her. After meeting the brothers, Yui quickly begins to question why her father would have sent her here and why she feels a strange, new pain in her chest. With each brother more sadistic than the last, Yui's life as a captive takes a harrowing turn in her new home. As her days turn into endless nights, and each brother vows to make her his own, Yui falls deeper and deeper into madness and ecstasy.  [Written by MAL Rewrite]"
"30","Noblesse","https://cdn.myanimelist.net/images/anime/1903/111646.jpg","TV","13","Finished Airing","2020-10-08","None found","[70, 71, 72, 65]","Web manga","[1, 3, 22, 5]","23.0","The ""Noblesse"" Cadis Etrama di Raizel, also known as ""Rai,"" is enrolled in Ye Ran High School by his servant Frankenstein to stay hidden from the sights of the Union, a mysterious organization out for Rai's blood. Rai commences his life as a student, making himself familiar with his classmates and the daily activities of humans. However, his new life is far from peaceful, and Rai is soon forced to save his new friends from the hands of the Union that had abducted them.  Meanwhile, M-21—a Union agent gone rogue during Rai's rescue operation—joins the Ye Ran High School security staff after a proposition by the school's director, who happens to be none other than Frankenstein himself. On the surface, M-21 is a prim and proper employee, but in truth he is shackled by his former ties to the Union and the inevitable consequences of betraying the organization.  To further complicate matters, Nobles Regis K. Landegre and Seira J. Loyard enroll in the same school to investigate the Noblesse. While the Union conducts a manhunt for M-21 to extract clues regarding their missing agents, Rai is forced to keep his identity hidden while protecting all that he holds dear.  [Written by MAL Rewrite]"
"31","Servamp","https://cdn.myanimelist.net/images/anime/8/80953.jpg","TV","12","Finished Airing","2016-07-05","Funimation","[67, 73, 32, 41, 74, 60, 75, 76, 77, 34, 78]","Manga","[1, 10, 5, 27]","24.0","Mahiru Shirota firmly believes that simple is best and troublesome things should be avoided at all costs. It is troublesome to do nothing and regret it later—and this ideology has led the 15-year-old to pick up a stray cat on his way home from school. As he affectionately names the feline Kuro, little does he know that this chance meeting will spark an extraordinary change in his everyday life.  One day, Mahiru returns home to find something quite strange: a mysterious young man he has never seen before. His subsequent panic results in the uninvited guest being exposed to sunlight and—much to Mahiru's shock—transforming into Kuro! Upon revealing himself as a mere lazy shut-in vampire, Kuro promises to leave once night falls. However, one disaster after another leads to Mahiru accidentally forming a contract with his new freeloader, dragging him into a life-threatening battle of supernatural servants and bloodthirsty beings that is anything but simple.  [Written by MAL Rewrite]"
