"ID","TITULO","IMAGEN","TIPO","EPISODIOS","ESTADO","FECHA_ESTRENO","LICENCIA","ID_ESTUDIOS","SRC","ID_GENEROS","DURACION","DESCRIPCION"
"11","Overlord II","https://cdn.myanimelist.net/images/anime/1212/113415.jpg","TV","13","Finished Airing","2018-01-09","Funimation","[4, 45, 21, 10, 26, 19, 5]","Light novel","[13, 10, 2, 4]","23.0","Ainz Ooal Gown, the undead sorcerer formerly known as Momonga, has accepted his place in this new world. Though it bears similarities to his beloved virtual reality game Yggdrasil, it still holds many mysteries which he intends to uncover, by utilizing his power as ruler of the Great Tomb of Nazarick. However, ever since the disastrous brainwashing of one of his subordinates, Ainz has become wary of the impending dangers of the Slane Theocracy, as well as the possible existence of other former Yggdrasil players. Meanwhile, Albedo, Demiurge and the rest of Ainz's loyal guardians set out to prepare for the next step in their campaign: Nazarick's first war…  Overlord II picks up immediately after its prequel, continuing the story of Ainz Ooal Gown, his eclectic army of human-hating guardians, and the many hapless humans affected by the Overlord's arrival.  [Written by MAL Rewrite]"
"12","Tensei shitara Slime Datta Ken 2nd Season","https://cdn.myanimelist.net/images/anime/1271/109841.jpg","TV","12","Finished Airing","2021-01-12","Funimation","[34, 38]","Manga","[13, 10, 1, 2, 4, 12, 17]","23.0","Taking a break from his time as a teacher, the powerful slime Rimuru Tempest returns to his kingdom, eponymously named Tempest, just in time to begin negotiations with a nearby nation—the Kingdom of Eurazania. While the negotiations are anything but peaceful, they do end successfully, allowing Rimuru to return and finish teaching. When trying to again return to Tempest, this time permanently, Rimuru is stopped by a mysterious figure who is somehow able to constrain the many magical abilities he has at his disposal.  In Tempest, the situation is even worse. A group of unknown humans has invaded the land and are assaulting its citizens, both influential and innocent. They are not just trying to bring harm either—they have the intent to kill. Can Rimuru overcome his powerful and dangerous foe and return to Tempest before it is too late?  [Written by MAL Rewrite]"
"13","Youjo Senki","https://cdn.myanimelist.net/images/anime/5/82890.jpg","TV","12","Finished Airing","2017-01-06","Funimation, Crunchyroll","[4, 45, 15, 19, 46]","Light novel","[13, 2, 4, 18, 12]","23.0","Tanya Degurechaff is a young soldier infamous for predatorial-like ruthlessness and an uncanny, tactical aptitude, earning her the nickname of the ""Devil of the Rhine."" Underneath her innocuous appearance, however, lies the soul of a man who challenged Being X, the self-proclaimed God, to a battle of wits—which resulted in him being reincarnated as a little girl into a world of magical warfare. Hellbent on defiance, Tanya resolves to ascend the ranks of her country's military as it slowly plunges into world war, with only Being X proving to be the strongest obstacle in recreating the peaceful life she once knew. But her perceptive actions and combat initiative have an unintended side effect: propelling the mighty Empire into becoming one of the most powerful nations in mankind's history.  [Written by MAL Rewrite]"
"14","Overlord III","https://cdn.myanimelist.net/images/anime/1511/93473.jpg","TV","13","Finished Airing","2018-07-10","Funimation","[4, 10, 26, 19, 5]","Light novel","[13, 10, 2, 4]","23.0","Following the horrific assault on the Re-Estize capital city, the Guardians of the Great Tomb of Nazarick return home to their master Ainz Ooal Gown. After months of laying the groundwork, they are finally ready to set their plans of world domination into action.  As Ainz's war machine gathers strength, the rest of the world keeps moving. The remote Carne Village, which Ainz once saved from certain doom, continues to prosper despite the many threats on its doorstep. And in the northeastern Baharuth Empire, a certain Bloody Emperor sets his sights on the rising power of Nazarick.  Blood is shed, heroes fall, and nations rise. Can anyone, or anything, challenge the supreme power of Ainz Ooal Gown?  [Written by MAL Rewrite]"
"15","Mushoku Tensei: Isekai Ittara Honki Dasu Part 2","https://cdn.myanimelist.net/images/anime/1028/117777.jpg","TV","12","Finished Airing","2021-10-04","Funimation","[1, 39, 40, 47, 10, 35, 41, 19, 48, 44]","Light novel","[10, 6, 2, 3, 4, 12]","23.0","After the mysterious mana calamity, Rudeus Greyrat and his fierce student Eris Boreas Greyrat are teleported to the Demon Continent. There, they team up with their newfound companion Ruijerd Supardia—the former leader of the Superd's Warrior group—to form ""Dead End,"" a successful adventurer party. Making a name for themselves, the trio journeys across the continent to make their way back home to Fittoa.  Following the advice he received from the faceless god Hitogami, Rudeus saves Kishirika Kishirisu, the Great Emperor of the Demon World, who rewards him by granting him a strange power. Now, as Rudeus masters the powerful ability that offers a number of new opportunities, it might prove to be more than what he bargained for when unexpected dangers threaten to hinder their travels.  [Written by MAL Rewrite]"
"16","Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2","https://cdn.myanimelist.net/images/anime/1724/117421.jpg","TV","12","Finished Airing","2021-01-06","None found","[4, 9, 10, 18, 19, 11]","Light novel","[6, 2, 7, 4, 8, 9]","29.0","After a stern yet compelling speech by Otto Suwen, Subaru Natsuki solemnly swears that he will successfully make it through this timeline and save everyone he can along the way. The first step toward achieving this goal is to help Emilia work through her past; however, that is easier said than done. Feeling as if she has been lied to by everyone around her, it will be difficult for Emilia to trust anyone, even Subaru, her self-proclaimed knight.  Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2 presents the culmination of Subaru's experiences with the Sanctuary and its people, along with his unwillingness to give up hope on saving them.  [Written by MAL Rewrite]"
"17","No Game No Life: Zero","https://cdn.myanimelist.net/images/anime/1085/90759.jpg","Movie","1","Finished Airing","2017-07-15","Sentai Filmworks","[1, 3, 4, 19, 5]","Light novel","[6, 2, 19, 4]","1.0","In ancient Disboard, Riku is an angry, young warrior intent on saving humanity from the warring Exceed, the 16 sentient species, fighting to establish the One True God among the Old Deus. In a lawless land, humanity's lack of magic and weak bodies have made them easy targets for the other Exceed, leaving the humans on the brink of extinction.  One day, however, hope returns to humanity when Riku finds a powerful female Ex-Machina, whom he names Schwi, in an abandoned elf city. Exiled from her Cluster because of her research into human emotions, Schwi is convinced that humanity has only survived due to the power of these feelings and is determined to understand the human heart. Forming an unlikely partnership in the midst of the overwhelming chaos, Riku and Schwi must now find the answers to their individual shortcomings in each other, and discover for themselves what it truly means to be human as they fight for their lives together against all odds. Each with a powerful new ally in tow, it is now up to them to prevent the extinction of the human race and establish peace throughout Disboard.  [Written by MAL Rewrite]"
"18","Zero no Tsukaima","https://cdn.myanimelist.net/images/anime/8/20680.jpg","TV","13","Finished Airing","2006-07-03","Sentai Filmworks, Geneon Entertainment USA","[49, 2, 50, 51, 52, 53]","Light novel","[13, 10, 1, 2, 19, 3, 20, 4, 21]","23.0","Louise Françoise Le Blanc de La Vallière is a self-absorbed mage in a world of wands, cloaks, and royalty. Although she studies at Tristain Academy, a prestigious school for magicians, she has a major problem: Louise is unable to cast magic properly, earning her the nickname of ""Louise the Zero"" from her classmates.  When the first year students are required to perform a summoning ritual, Louise's summoning results in a catastrophic explosion! Everyone deems this to be yet another failure, but when the smoke clears, a boy named Saito Hiraga appears. Now Louise's familiar, Saito is treated as a slave, forced to clean her clothes and eat off the ground. But when an unfamiliar brand is found etched on Saito's hand from the summoning ritual, it is believed to be the mark of a powerful familiar named Gandalfr.  Wild, adventurous, and explosive, Zero no Tsukaima follows Saito as he comes to terms with his new life and as Louise proves that there is more to her than her nickname suggests.  [Written by MAL Rewrite]"
"19","Gate: Jieitai Kanochi nite, Kaku Tatakaeri","https://cdn.myanimelist.net/images/anime/8/76222.jpg","TV","12","Finished Airing","2015-07-04","Sentai Filmworks","[49, 8, 54, 14, 32, 55, 56]","Light novel","[13, 10, 2, 4, 18]","23.0","Off-duty Japan Self-Defense Forces (JSDF) officer and otaku Youji Itami is on his way to attend a doujin convention in Ginza, Tokyo when a mysterious portal in the shape of a large gate suddenly appears. From this gate, supernatural creatures and warriors clad in medieval armor emerge, charging through the city, killing and destroying everything in their path. With swift actions, Youji saves as many lives as he can while the rest of the JSDF direct their efforts toward stopping the invasion.  Three months after the attack, Youji has been tasked with leading a special recon team, as part of a JSDF task force, that will be sent to the world beyond the gate—now being referred to as the ""Special Region."" They must travel into this unknown world in order to learn more about what they are dealing with and attempt to befriend the locals in hopes of creating peaceful ties with the ruling empire. But if they fail, they face the consequence of participating in a devastating war that will engulf both sides of the gate.  [Written by MAL Rewrite]"
"20","Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu","https://cdn.myanimelist.net/images/anime/1638/119321.jpg","Movie","1","Finished Airing","2019-08-30","None found","[13, 16, 57, 17, 24, 18, 19, 58, 53]","Light novel","[10, 1, 2, 4, 11, 12]","1.0","It is not strange that the Demon Lord's forces fear the Crimson Demons, the clan from which Megumin and Yunyun originate. Even if the Demon Lord's generals attack their village, the Crimson Demons can just easily brush them off with their supreme mastery of advanced and overpowered magic.  When Yunyun receives a seemingly serious letter regarding a potential disaster coming to her hometown, she immediately informs Kazuma Satou and the rest of his party. After a series of wacky misunderstandings, it turns out to be a mere prank by her fellow demon who wants to be an author. Even so, Megumin becomes worried about her family and sets out toward the Crimson Demons' village with the gang.  There, Kazuma and the others decide to sightsee the wonders of Megumin's birthplace. However, they soon come to realize that the nonsense threat they received might have been more than just a joke.  [Written by MAL Rewrite]"
"21","Tate no Yuusha no Nariagari Season 2","https://cdn.myanimelist.net/images/anime/1143/121873.jpg","TV","13","Finished Airing","2022-04-06","None found","[1, 4, 13, 22, 23, 24, 25, 18, 26, 19, 27, 59]","Light novel","[13, 10, 6, 2, 4]","23.0","With another Wave happening in a week, Naofumi Iwatani and his party have no time to waste. However, when bat familiars raid Lurolona Village and the Wave countdown comes to a halt, the Four Cardinal Heroes reconvene with the queen, Mirelia Q Melromarc, for a quick briefing. The queen presumes that the odd occurrences are linked to the Spirit Tortoise—a threatening creature that has awakened from its slumber, back to cause havoc once again. A plan to put the Spirit Tortoise to rest is devised—but out of the four men, only the cursed Shield Hero agrees to help.  [Written by MAL Rewrite]"
"22","Tensei shitara Slime Datta Ken 2nd Season Part 2","https://cdn.myanimelist.net/images/anime/1033/118296.jpg","TV","12","Finished Airing","2021-07-06","Crunchyroll","[34, 35, 36, 37, 60, 58, 61, 38]","Manga","[13, 10, 1, 2, 4, 12, 17]","23.0","The nation of Tempest is in a festive mood after successfully overcoming the surprise attack from the Falmuth Army and the Western Holy Church. Beyond the festivities lies a meeting between Tempest and its allies to decide the future of the Nation of Monsters. The aftermath of the Falmuth invasion, Milim Nava's suspicious behavior, and the disappearance of Demon Lord Carrion—the problems seem to keep on piling up.  Rimuru Tempest, now awakened as a True Demon Lord, decides to go on the offensive against Clayman. With the fully revived Storm Dragon Veldora, Ultimate Skill Raphael, and other powerful comrades, the ruler of the Tempest is confident in taking down his enemies one by one until he can face the man pulling the strings.  [Written by MAL Rewrite]"
"23","Hai to Gensou no Grimgar","https://cdn.myanimelist.net/images/anime/13/77976.jpg","TV","12","Finished Airing","2016-01-11","Funimation","[40, 56]","Light novel","[13, 10, 6, 2, 4]","24.0","Fear, survival, instinct. Thrown into a foreign land with nothing but hazy memories and the knowledge of their name, they can feel only these three emotions resonating deep within their souls. A group of strangers is given no other choice than to accept the only paying job in this game-like world—the role of a soldier in the Reserve Army—and eliminate anything that threatens the peace in their new world, Grimgar.  When all of the stronger candidates join together, those left behind must create a party together to survive: Manato, a charismatic leader and priest; Haruhiro, a nervous thief; Yume, a cheerful hunter; Shihoru, a shy mage; Moguzo, a kind warrior; and Ranta, a rowdy dark knight. Despite its resemblance to one, this is no game—there are no redos or respawns; it is kill or be killed.  It is now up to this ragtag group of unlikely fighters to survive together in a world where life and death are separated only by a fine line.  [Written by MAL Rewrite]"
"24","Isekai Maou to Shoukan Shoujo no Dorei Majutsu","https://cdn.myanimelist.net/images/anime/1649/93412.jpg","TV","12","Finished Airing","2018-07-05","Funimation","[28, 34, 12, 4, 14, 62, 17, 47, 63, 64, 65, 66, 67]","Light novel","[13, 2, 3, 20, 4]","23.0","When it comes to the fantasy MMORPG Cross Reverie, none can match the power of the Demon King Diablo. Possessing the game's rarest artifacts and an unrivaled player level, he overpowers all foolish enough to confront him. But despite his fearsome reputation, Diablo's true identity is Takuma Sakamoto, a shut-in gamer devoid of any social skills. Defeating hopeless challengers day by day, Takuma cares about nothing else but his virtual life—that is, until a summoning spell suddenly transports him to another world where he has Diablo's appearance!  In this new world resembling his favorite game, Takuma is greeted by the two girls who summoned him: Rem Galeu, a petite Pantherian adventurer, and Shera L. Greenwood, a busty Elf summoner. They perform an Enslavement Ritual in an attempt to subjugate him, but the spell backfires and causes them to become his slaves instead. With the situation now becoming more awkward than ever, Takuma decides to accompany the girls in finding a way to unbind their contract while learning to adapt to his new existence as the menacing Demon King.  [Written by MAL Rewrite]"
"25","Arifureta Shokugyou de Sekai Saikyou","https://cdn.myanimelist.net/images/anime/1776/97682.jpg","TV","13","Finished Airing","2019-07-08","Funimation","[4, 15, 51, 16, 10, 68, 69, 36, 70, 11]","Light novel","[13, 10, 2, 20, 4]","23.0","The ordinary life of 17-year-old otaku Hajime Nagumo is disrupted when he and his classmates are summoned to a fantasy world and tasked with saving mankind. While his classmates are gifted with impressive abilities useful in combat, Hajime is belittled for only gaining an inferior transmutation skill that lacks any real offensive power.  During an expedition in the Great Orcus Labyrinth, Hajime is betrayed by one of his classmates, plummeting him to the bottom of an abyss. Though he survives the fall, Hajime is faced with menacing monsters and misfortunes that send him spiraling into a grim nightmare. Desperate to live and return home one day, he resolves to fight for his survival—only to meet an imprisoned vampire he names Yue, who is also seeking to escape the labyrinth. Taking an interest in him, Yue and a few others along the way accompany Hajime on his journey to find a way back home, while steadily transforming from commonplace to the world's strongest.  [Written by MAL Rewrite]"
"26","Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru","https://cdn.myanimelist.net/images/anime/1715/103419.jpg","TV","12","Finished Airing","2019-10-02","Funimation","[4, 18, 19, 71, 11]","Light novel","[13, 10, 1, 2, 4, 11]","23.0","There is a popular saying: ""you can never be too careful."" It is very important to prepare for every situation you may face, even if it seems like an unnecessary waste of time. Also, in games like RPGs, it is good to exceed the level of your enemies to achieve total victory.  These words describe Seiya Ryuuguuin a little too perfectly. After being summoned by the goddess Ristarte to save the world of Gaeabrande from destruction, the hero prepares himself for his noble journey. While this might be normal, he spends a very long time training himself, despite having overpowered stats. He fights weak enemies using his strongest skills and buys excessive amounts of supplies and potions—all to stay safe.  While his attitude may be a bit annoying, it might just be the saving grace of Gaeabrande, especially considering that it is a world where the forces of evil dominate each and every expectation.  [Written by MAL Rewrite]"
"27","Kage no Jitsuryokusha ni Naritakute!","https://cdn.myanimelist.net/images/anime/1874/121869.jpg","TV","20","Finished Airing","2022-10-05","Sentai Filmworks","[4, 72, 19, 73, 74, 75]","Light novel","[13, 1, 2, 4, 12]","23.0","For as long as he can remember, Minoru Kagenou has been fixated on becoming as strong as possible, which has led him to undertake all kinds of rigorous training. This wish, however, does not stem from a desire to be recognized by others; rather, Minoru does everything he can to blend in with the crowd. So, while pretending to be a completely average student during the day, he arms himself with a crowbar and ruthlessly thrashes local biker gangs at night. Yet when Minoru finds himself in a truck accident, his ambitions seemingly come to a sudden end. In his final moments, he laments his powerlessness—no matter how much he trained, there was nothing he could do to overcome his human limitations.  But instead of dying, Minoru reawakens as Cid, the second child of the noble Kagenou family, in another world—one where magic is commonplace. With the power he so desired finally within his grasp, he dons the moniker ""Shadow"" and establishes Shadow Garden: a group whose sole purpose is to combat the enigmatic Cult of Diablos, an organization born from Cid's imagination. However, as Shadow Garden grows in both membership and influence, it becomes increasingly apparent that the Cult of Diablos is not as fictional as Cid had intended.  [Written by MAL Rewrite]"
"28","Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?","https://cdn.myanimelist.net/images/anime/12/43369.jpg","TV","10","Finished Airing","2013-01-12","Sentai Filmworks","[7, 13, 76, 77]","Light novel","[13, 1, 2, 4]","23.0","Izayoi Sakamaki, Asuka Kudou, and You Kasukabe are extraordinary teenagers who are blessed with psychic powers but completely fed up with their disproportionately mundane lives—until, unexpectedly, each of them receives a strange envelope containing an invitation to a mysterious place known as Little Garden.  Inexplicably dropped into a vast new world, the trio is greeted by Kurousagi, who explains that they have been given a once-in-a-lifetime chance to participate in special high-stakes games using their abilities. In order to take part, however, they must first join a community. Learning that Kurousagi's community ""No Names"" has lost its official status and bountiful land due to their defeat at the hands of a demon lord, the group sets off to help reclaim their new home's dignity, eager to protect its residents and explore the excitement that Little Garden has to offer.  [Written by MAL Rewrite]"
"29","Kenja no Mago","https://cdn.myanimelist.net/images/anime/1261/100452.jpg","TV","12","Finished Airing","2019-04-10","Funimation","[28, 78, 79, 19, 80]","Light novel","[13, 1, 2, 19, 4, 12]","23.0","In the kingdom of Earlshide, Merlin Wolford was once regarded as a national hero, hailed for both his power and achievements. Preferring a quiet life however, he secludes himself deep in the rural woods, dedicating his time to raising an orphan that he saved. This orphan is Shin, a normal salaryman in modern-day Japan who was reincarnated into Merlin's world while still retaining his past memories. As the years pass, Shin displays unparalleled talent in both magic casting and martial arts, much to Merlin's constant amazement.  On his 15th birthday, however, it becomes apparent that Shin only developed his combat skills and nothing else, leaving him with blatant social awkwardness, a lack of common sense, and a middling sense of responsibility. As a result, Shin enrolls in the kingdom's Magic Academy to hone his skills and mature among other teenagers. However, living a normal life is impossible, as he is established as a local celebrity almost as soon as he arrives.  As Shin Wolford adjusts to his high school life in the capital, he makes new friends, learns about the world, and fights off the various forces of evil surrounding him and his city.  [Written by MAL Rewrite]"
